respond_id,pet,count
001,Duck,6
002,Snake,9
003,Samoyed,1
004,Dog,6
005,British Shorthair,8
006,British Shorthair,8
007,Fish,3
008,Bunny,2
009,Golden Retriever,3
010,Samoyed,6
011,Guinea Pig,3
012,American Shorthair,6
013,Parrot,5
014,Duck,7
015,Cat,0
016,Parrot,8
017,Fish,4
018,Chicken,6
019,Turtle,5
020,Bird,8
021,Hens,2
022,Goldfish,3
023,Bunny,9
024,White Shepherd,7
025,Golden Retriever,5
026,Rat,3
027,Golden Retriever,4
028,Bird,5
029,Snake,3
030,Snake,3
031,Dog,7
032,Guinea Pig,9
033,British Shorthair,9
034,Turtle,9
035,Golden Retriever,7
036,Golden Retriever,3
037,Golden Retriever,2
038,Chicken,3
039,Fish,9
040,Dog,7
041,Cat,7
042,Bunny,5
043,Dog,1
044,Rabbit,2
045,White Shepherd,2
046,British Shorthair,8
047,Horse,1
048,Guinea Pig,5
049,Kitten,8
050,Dog,4
051,Dog,0
052,American Shorthair,2
053,Samoyed,5
054,Bird,5
055,Parrot,0
056,Goldfish,8
057,White Shepherd,1
058,Turtle,1
059,Snake,0
060,American Shorthair,3
061,Bunny,8
062,Rabbit,8
063,Cat,4
064,Cat,4
065,Fish,0
066,Bunny,9
067,British Shorthair,3
068,Parrot,7
069,Horse,3
070,Chicken,2
071,Guinea Pig,1
072,Dog,1
073,Chicken,2
074,British Shorthair,1
075,Samoyed,4
076,Duck,2
077,Rabbit,5
078,White Shepherd,5
079,Horse,5
080,American Shorthair,2
081,Parrot,5
082,American Shorthair,7
083,Snake,7
084,White Shepherd,6
085,British Shorthair,1
086,Duck,6
087,American Shorthair,7
088,White Shepherd,2
089,Goldfish,3
090,Chicken,1
091,Snake,9
092,White Shepherd,5
093,British Shorthair,9
094,Snake,9
095,Hens,2
096,Samoyed,0
097,Samoyed,9
098,Rat,1
099,Turtle,9
100,Bird,0
101,Bunny,6
102,British Shorthair,0
103,Dog,4
104,Bird,8
105,Dog,4
106,Turtle,3
107,Guinea Pig,3
108,American Shorthair,8
109,Kitten,8
110,Rat,7
111,British Shorthair,0
112,Kitten,3
113,Rabbit,8
114,Hens,7
115,Rat,7
116,Fish,1
117,Samoyed,8
118,Bunny,4
119,Dog,7
120,Rabbit,0
121,Guinea Pig,4
122,Horse,9
123,Kitten,0
124,Kitten,6
125,British Shorthair,4
126,British Shorthair,2
127,Guinea Pig,4
128,Chicken,6
129,British Shorthair,3
130,White Shepherd,3
131,Turtle,7
132,Guinea Pig,8
133,Chicken,5
134,Bunny,0
135,Cat,8
136,American Shorthair,5
137,Rabbit,4
138,Chihuahua,7
139,Horse,4
140,Goldfish,1
141,Horse,3
142,Kitten,3
143,Golden Retriever,9
144,Rat,2
145,Dog,5
146,Chihuahua,2
147,Dog,3
148,Parrot,5
149,Golden Retriever,7
150,Chicken,2
151,Rabbit,7
152,Golden Retriever,1
153,Goldfish,6
154,Hens,5
155,Kitten,0
156,British Shorthair,0
157,Kitten,3
158,Horse,1
159,Hens,9
160,Rat,9
161,Goldfish,6
162,Goldfish,6
163,Golden Retriever,7
164,Goldfish,8
165,Kitten,8
166,White Shepherd,7
167,British Shorthair,0
168,Duck,8
169,Chicken,6
170,Dog,8
171,American Shorthair,9
172,British Shorthair,8
173,Hens,3
174,Horse,6
175,Chihuahua,1
176,Hens,7
177,Hens,4
178,Horse,9
179,Rat,2
180,Samoyed,0
181,Chicken,8
182,Rat,2
183,Chihuahua,7
184,Samoyed,8
185,Golden Retriever,4
186,Cat,4
187,Goldfish,1
188,Dog,7
189,American Shorthair,6
190,Parrot,9
191,Samoyed,4
192,Hens,1
193,Fish,5
194,Snake,9
195,Bunny,7
196,Guinea Pig,1
197,Goldfish,3
198,Chihuahua,5
199,Snake,7
200,Horse,3
